value,lat,lon
"26.07621359227136",38.20646420048723,-344.4505222421378
"4.960674735678866",38.2059721472794,-344.4506687070349
"16.01194669706034",38.205404219660004,-344.4405435876871
"21.11733187459405",38.205630582722705,-344.44305805318123
"21.219577006648354",38.206270682660794,-344.4457117147567
"21.055658529900434",38.205985526946385,-344.4409320007903
"11.293350283893776",38.20671856293723,-344.4467357772707
"30.33151417847068",38.20599396187914,-344.45101220096495
"1.8849488200835376",38.205646448805105,-344.4509836107697
"2.596057442797123",38.205980477379676,-344.445966160932
"30.995343760196057",38.205947061933834,-344.4414873352181
"25.110066316804286",38.205446938222984,-344.441848692855
"30.67969486573189",38.2054151668684,-344.4422765419018
"29.343507954693596",38.20695341927985,-344.44174978859405
"4.266255478667855",38.205424192333446,-344.4511800852614
"20.774859636432325",38.20599870524252,-344.4386012019079
"16.066063524156814",38.20637590322506,-344.44485321363
"2.498027237607491",38.20574336600738,-344.443885648904
"3.339749400556126",38.2054940988098,-344.4453698175299
"1.5900216121192758",38.20639240838958,-344.4438627795178
"18.617309048144627",38.2053361869963,-344.43874554859445
"9.21741482866055",38.20443453677922,-344.43961339237893
"2.733739060308561",38.2038927669814,-344.45089690238564
"18.382899007083335",38.206559221146534,-344.44760076538205
"22.547332243317555",38.20439250482878,-344.4433123050222
"10.331762495738174",38.20475333827862,-344.45091559702126
"9.625682711074962",38.20522628645077,-344.44278687540583
"11.959447147734965",38.20344835409212,-344.4454362224517
"27.66929068521302",38.20571583989572,-344.44420444243144
"25.719360980397475",38.205803651474774,-344.4499573089498
"9.306967043185853",38.20593012379434,-344.4497787186051
"1.3989323174443093",38.205194471303045,-344.4509904856189
"15.163909813456852",38.20518523772741,-344.4526513261858
"24.146399142558653",38.20384551104768,-344.44447774687745
"19.329265834927476",38.20629417894819,-344.4518210209651
"13.941380992601994",38.20547797074296,-344.45105993089896
"24.342713974761985",38.20678562641054,-344.45186404581284
"5.785682136183964",38.205657812580945,-344.4417331338658
"20.313027001469212",38.20503326834893,-344.45021232695257
"17.226220789596756",38.205053850127875,-344.44349793795504
"10.245674245935085",38.203465181416455,-344.44202698748205
"29.88298576826426",38.203541823349575,-344.44715602583955
"5.665375386295867",38.20377172882848,-344.4484687271835
"24.009375449344553",38.20378176669224,-344.448641252033
"15.996055699214688",38.2037015441848,-344.45157466178364
"6.821393278624858",38.20398696800954,-344.44918406230914
"20.88659135709518",38.203889730400796,-344.4432712774341
"27.933839679323924",38.20402444143681,-344.4405685472692
"6.475851217059729",38.20391496245,-344.44339852183936
"16.13294560342401",38.20399576614032,-344.4430299198487
"15.147371671647534",38.20377997915348,-344.4422380027012
"15.073498830778552",38.20393142741028,-344.44894290518795
"16.770747054428753",38.20343778467261,-344.44061137776157
"25.892878174156724",38.203590794489195,-344.44587181644044
